data;mes;bandeira;se_residencial_N;se_temperatura;se_UC_residencial;pib;band_categoria
01/01/2004;janeiro;não;3694385.61;;22297938;120;sem bandeira
01/02/2004;fevereiro;não;3511541.26;;22381311;121.2;sem bandeira
01/03/2004;março;não;3629455.43;;22484677;122.7;sem bandeira
01/04/2004;abril;não;3733863.11;;22511086;124;sem bandeira
01/05/2004;maio;não;3537268.72;;22525747;123.5;sem bandeira
01/06/2004;junho;não;3433442.5;;22573915;124;sem bandeira
01/07/2004;julho;não;3457622.77;;22651117;124.7;sem bandeira
01/08/2004;agosto;não;3453322.43;;22682587;125.8;sem bandeira
01/09/2004;setembro;não;3596160.18;;22720074;126;sem bandeira
01/10/2004;outubro;não;3608130.03;;22981214;126.1;sem bandeira
01/11/2004;novembro;não;3608514.98;;22822663;126.9;sem bandeira
01/12/2004;dezembro;não;3569437.91;;22857176;126.7;sem bandeira
01/01/2005;janeiro;não;3873894.22;25.13;23175138;126.9;sem bandeira
01/02/2005;fevereiro;não;3616967.02;24.75;23197625;126.2;sem bandeira
01/03/2005;março;não;3711050.63;25;23274093;127.5;sem bandeira
01/04/2005;abril;não;3923734.98;24.78;23308907;130.3;sem bandeira
01/05/2005;maio;não;3655561.35;22.41;23303208;128.1;sem bandeira
01/06/2005;junho;não;3710837.24;21.18;23431298;127.7;sem bandeira
01/07/2005;julho;não;3626333.22;19.99;23472197;127.3;sem bandeira
01/08/2005;agosto;não;3635143.35;22.2;23519017;128.3;sem bandeira
01/09/2005;setembro;não;3819948.18;21.37;23596625;129;sem bandeira
01/10/2005;outubro;não;3773672.97;24.37;23652402;128.7;sem bandeira
01/11/2005;novembro;não;3774517.72;22.84;23694791;129;sem bandeira
01/12/2005;dezembro;não;3869508.31;23.7;23748325;130.2;sem bandeira
01/01/2006;janeiro;não;3895001.66;25.95;23866028;131.7;sem bandeira
01/02/2006;fevereiro;não;3891194.99;26.44;23904695;131.6;sem bandeira
01/03/2006;março;não;4121516.62;25.22;24005599;131.1;sem bandeira
01/04/2006;abril;não;3957603.72;23.59;24005373;131.2;sem bandeira
01/05/2006;maio;não;3811707.88;20.86;24083789;132.4;sem bandeira
01/06/2006;junho;não;3828065.92;19.99;24113741;133.2;sem bandeira
01/07/2006;julho;não;3768572.19;20.56;24162787;133.9;sem bandeira
01/08/2006;agosto;não;3774739.54;21.66;24240440;134.1;sem bandeira
01/09/2006;setembro;não;3888549.52;21.26;24299623;134.4;sem bandeira
01/10/2006;outubro;não;3901043.1;22.64;24267412;134.8;sem bandeira
01/11/2006;novembro;não;3997650.46;23.27;24445521;135.6;sem bandeira
01/12/2006;dezembro;não;4016722.91;25.05;24399138;136.4;sem bandeira
01/01/2007;janeiro;não;4183534;25.43;24472442;137.2;sem bandeira
01/02/2007;fevereiro;não;4000465;25.18;24477565;138.1;sem bandeira
01/03/2007;março;não;4219240;24.97;24529819;139.1;sem bandeira
01/04/2007;abril;não;4223592;23.59;24571546;140.1;sem bandeira
01/05/2007;maio;não;4104316;21.05;24645644;140.8;sem bandeira
01/06/2007;junho;não;3887323;21.31;24722235;141.9;sem bandeira
01/07/2007;julho;não;3813598;20.95;24750504;141.6;sem bandeira
01/08/2007;agosto;não;3979163;21.7;24832137;142.1;sem bandeira
01/09/2007;setembro;não;4058552;22.67;24881050;142.6;sem bandeira
01/10/2007;outubro;não;4053969;24.43;24965227;144.1;sem bandeira
01/11/2007;novembro;não;4229638;24.06;25015956;144.7;sem bandeira
01/12/2007;dezembro;não;4116989;25;25097821;144.9;sem bandeira
01/01/2008;janeiro;não;4412691;24.22;25200960;146.9;sem bandeira
01/02/2008;fevereiro;não;4340742;24.73;25506138;147.5;sem bandeira
01/03/2008;março;não;4179036;23.87;25601224;147.2;sem bandeira
01/04/2008;abril;não;4225451;23.44;25667476;147.9;sem bandeira
01/05/2008;maio;não;4386332;21.08;25758203;149.4;sem bandeira
01/06/2008;junho;não;4153532;20.99;25531107;150.4;sem bandeira
01/07/2008;julho;não;4186405;20.32;25569865;152.5;sem bandeira
01/08/2008;agosto;não;4292183;22.19;25660831;151.6;sem bandeira
01/09/2008;setembro;não;4208021;21.72;25816012;152.4;sem bandeira
01/10/2008;outubro;não;4413750;23.82;25932429;149.6;sem bandeira
01/11/2008;novembro;não;4456627;23.75;25868871;146.2;sem bandeira
01/12/2008;dezembro;não;4222422;24.44;25992887;142;sem bandeira
01/01/2009;janeiro;não;4648272;25.09;26009756;142.7;sem bandeira
01/02/2009;fevereiro;não;4425160;25.22;25998455;143.3;sem bandeira
01/03/2009;março;não;4666872;24.97;26220258;143.7;sem bandeira
01/04/2009;abril;não;4574496;22.55;26195353;145.4;sem bandeira
01/05/2009;maio;não;4466390;21.74;26262096;146.4;sem bandeira
01/06/2009;junho;não;4263405;20.16;26257320;147.8;sem bandeira
01/07/2009;julho;não;4390194;21.46;26401844;149.1;sem bandeira
01/08/2009;agosto;não;4521489;21.57;26360620;150.1;sem bandeira
01/09/2009;setembro;não;4516470;24.4;26429086;151.7;sem bandeira
01/10/2009;outubro;não;4587326;23.72;26504561;152.9;sem bandeira
01/11/2009;novembro;não;4586570;26.36;26505030;154;sem bandeira
01/12/2009;dezembro;não;4768804;26.09;26627555;154.3;sem bandeira
01/01/2010;janeiro;não;4934723;26.08;26609660;154.9;sem bandeira
01/02/2010;fevereiro;não;4805332;25.8;26713269;155.9;sem bandeira
01/03/2010;março;não;4841148;24.25;26787133;157.8;sem bandeira
01/04/2010;abril;não;4871630;22.29;26809655;158.8;sem bandeira
01/05/2010;maio;não;4594567;21.11;26860681;158.9;sem bandeira
01/06/2010;junho;não;4520711;20.07;26902855;159.3;sem bandeira
01/07/2010;julho;não;4385968;21.02;26964956;160.3;sem bandeira
01/08/2010;agosto;não;4674267;21.21;27073752;160.7;sem bandeira
01/09/2010;setembro;não;4715169;22.69;27135959;161.4;sem bandeira
01/10/2010;outubro;não;4722642;23.41;27170517;162;sem bandeira
01/11/2010;novembro;não;4672324;24.95;27245373;162.8;sem bandeira
01/12/2010;dezembro;não;4941867;26.09;27297941;162.9;sem bandeira
01/01/2011;janeiro;não;5255305;24.94;27340977;163.1;sem bandeira
01/02/2011;fevereiro;não;5083728;25.44;27428020;164.8;sem bandeira
01/03/2011;março;não;5128653;22.73;27437615;164.5;sem bandeira
01/04/2011;abril;não;4937010;22.07;27471474;166;sem bandeira
01/05/2011;maio;não;4856402;20.59;27618710;166.6;sem bandeira
01/06/2011;junho;não;4678006;20.36;27620692;166.9;sem bandeira
01/07/2011;julho;não;4784552;20.43;27725178;166.7;sem bandeira
01/08/2011;agosto;não;4840012;22;27882684;166.7;sem bandeira
01/09/2011;setembro;não;5036380;21.73;27739767;166.2;sem bandeira
01/10/2011;outubro;não;4905359;23.24;27873763;165.6;sem bandeira
01/11/2011;novembro;não;4885526;23.4;27918878;166.8;sem bandeira
01/12/2011;dezembro;não;4957747;24.84;28004734;168.1;sem bandeira
01/01/2012;janeiro;não;5138107;24.44;28057542;166.6;sem bandeira
01/02/2012;fevereiro;não;5111298;25.17;28100215;166.4;sem bandeira
01/03/2012;março;não;5470926;22.95;28192473;167.2;sem bandeira
01/04/2012;abril;não;5308429;22.87;28212093;166.9;sem bandeira
01/05/2012;maio;não;4954256;20.88;28220135;168.5;sem bandeira
01/06/2012;junho;não;5033564;21.05;28222829;169.2;sem bandeira
01/07/2012;julho;não;4828556;21.1;28223812;170.6;sem bandeira
01/08/2012;agosto;não;4979107;22.35;28293792;170.9;sem bandeira
01/09/2012;setembro;não;5108683;22.95;28316728;170.9;sem bandeira
01/10/2012;outubro;não;5068966;25.85;28446819;171.2;sem bandeira
01/11/2012;novembro;não;5369591;24.33;28518767;171;sem bandeira
01/12/2012;dezembro;não;5223040;26.62;28546662;171.1;sem bandeira
01/01/2013;janeiro;não;5757901;24.68;28575010;172.3;sem bandeira
01/02/2013;fevereiro;não;5425917;24.44;28712422;170.4;sem bandeira
01/03/2013;março;não;5373723;23.42;28806065;171.8;sem bandeira
01/04/2013;abril;não;5329736;22.21;28840432;174.5;sem bandeira
01/05/2013;maio;não;5269471;20.78;28927394;174.7;sem bandeira
01/06/2013;junho;não;5185998;21.07;29024728;174.2;sem bandeira
01/07/2013;julho;não;5063741;21.06;29093052;175.9;sem bandeira
01/08/2013;agosto;não;5200951;21.58;29155455;175.4;sem bandeira
01/09/2013;setembro;não;5196437;22.68;29196561;175.7;sem bandeira
01/10/2013;outubro;não;5313978;23.31;29278144;175.8;sem bandeira
01/11/2013;novembro;não;5420982;25.14;29357901;175.7;sem bandeira
01/12/2013;dezembro;não;5407419;25.86;29431624;175.2;sem bandeira
01/01/2014;janeiro;não;5991046;26.09;29489741;176.6;sem bandeira
01/02/2014;fevereiro;não;6082595;25.28;29613355;176.9;sem bandeira
01/03/2014;março;não;5783428;23.57;29668816;175.4;sem bandeira
01/04/2014;abril;não;5477028;22.61;29728712;174.7;sem bandeira
01/05/2014;maio;não;5455670;20.92;29801845;175.1;sem bandeira
01/06/2014;junho;não;5106123;20.87;29836815;173.5;sem bandeira
01/07/2014;julho;não;5294663;20.97;29909736;174.1;sem bandeira
01/08/2014;agosto;não;5191948;21.81;29904703;174.4;sem bandeira
01/09/2014;setembro;não;5194803;23.42;30050844;175.5;sem bandeira
01/10/2014;outubro;não;5560649;24.76;30089407;175.8;sem bandeira
01/11/2014;novembro;não;5714131;25.53;30106424;175.5;sem bandeira
01/12/2014;dezembro;não;5508771;25.96;30245091;174.8;sem bandeira
01/01/2015;janeiro;sim;6462123.9;26.39;30236081;173.5;vermelha
01/02/2015;fevereiro;sim;5943391;24.8;30328894;172.8;vermelha
01/03/2015;março;sim;5558364;23.34;30386418;173.1;vermelha
01/04/2015;abril;sim;5399473;22.39;30450741;171;vermelha
01/05/2015;maio;sim;5174243;21.35;30530308;169.6;vermelha
01/06/2015;junho;sim;4835360;21.17;30581672;168.9;vermelha
01/07/2015;julho;sim;4895772;21.81;30628865;168;vermelha
01/08/2015;agosto;sim;5064899;22.99;30673679;167.1;vermelha
01/09/2015;setembro;sim;5013369;24.73;30739509;166.5;vermelha
01/10/2015;outubro;sim;5463820;25.92;30801908;166.5;vermelha
01/11/2015;novembro;sim;5441450;25.3;30862812;165.6;vermelha
01/12/2015;dezembro;sim;5366695;26.39;30865674;164.9;vermelha
01/01/2016;janeiro;sim;5864904;25.49;31025775;164.8;vermelha
01/02/2016;fevereiro;sim;5615703;26.36;31105439;164.7;vermelha
01/03/2016;março;sim;5533104;23.81;31065215;164.3;amarela
01/04/2016;abril;não;5907708;22.66;31126329;163.8;verde
01/05/2016;maio;não;5331226;21.2;31185448;163.3;verde
01/06/2016;junho;não;5077172;20.16;31229106;163.2;verde
01/07/2016;julho;não;4937621;21.32;31286979;163.2;verde
01/08/2016;agosto;não;4997821;21.91;31333484;162.6;verde
01/09/2016;setembro;não;5299603;22.9;31359916;162.5;verde
01/10/2016;outubro;não;5282930;24.48;31361107;161.2;verde
01/11/2016;novembro;sim;5407435;24.07;31472377;162.1;amarela
01/12/2016;dezembro;não;5543758;18.12;31514104;161.8;verde
01/01/2017;janeiro;não;5998407.52;24.72;31539778;163.4;verde
01/02/2017;fevereiro;não;5694875;23.96;31613517;163.6;verde
01/03/2017;março;sim;6100588;22.44;31555181;164.4;amarela
01/04/2017;abril;sim;5512399;16.23;31656638;164.3;vermelha
01/05/2017;maio;sim;5269215;19.39;31738764;164.8;vermelha
01/06/2017;junho;não;5108253;15.42;31758802;165.1;verde
01/07/2017;julho;sim;5028461;19.62;31803826;164.9;amarela
01/08/2017;agosto;sim;4944483;15.9;31893058;165.3;vermelha
01/09/2017;setembro;sim;5282362.12;22.48;31887914;165.1;amarela
01/10/2017;outubro;sim;5315363.06;17.45;31893874;164.9;vermelha 2
01/11/2017;novembro;sim;5496633;23.9;32052353;165.2;vermelha 2
01/12/2017;dezembro;sim;5496198;17.63;32179068;165.5;vermelha
01/01/2018;janeiro;não;5780907.39;13.07;32085282;165.9;verde
01/02/2018;fevereiro;não;5623263;23.36;32177526;165.6;verde
01/03/2018;março;não;5822851;15.99;32229867;165.7;verde
01/04/2018;abril;não;5827454;21.74;32300893;165.7;verde
01/05/2018;maio;sim;5389042;19.96;32270709;165.7;amarela
01/06/2018;junho;sim;5196025;;32266062;165.7;vermelha 2
